name,url,status,size,sha256,error
coolify,https://cdn.coollabs.io/coolify/install.sh,ok,40645,58132d98fe956d1a16df378fd22250153b6fbc08a84e044d80da3324450a0ca3,
crowdsec,https://install.crowdsec.net,ok,15666,b0fb116217e1aa4c2fb09fe3b887615a80c17ca7b80253e56df176dc9d555591,
dagger,https://dl.dagger.io/dagger/install.sh,ok,9516,0e02969050598a7749167ff1ba1f8bdb1d823e3bdab1dc6b1e609e502450230c,
datadog-agent,https://install.datadoghq.com/scripts/install_script_agent7.sh,ok,101000,46023f6e290995c4d03fe971466859d03cbe0a4969f9d1dec26c09db7b3ccebe,
devbox,https://get.jetify.com/devbox,ok,5141,0bfcbdbef3fcbf3a07f135540b3b518e68a2fa3a8d08477c5496e726d71ed075,
directadmin,https://download.directadmin.com/setup.sh,ok,3509,fb8d7bd3f1b8ea53deb204a183a7046058184a445f95e9b041a11497d1ab653d,
dokku,https://raw.githubusercontent.com/dokku/dokku/master/bootstrap.sh,ok,9036,e9c4d78e0ff5f0831ab66d9cff8da3548353ffcfb0cffa119530103f821c1556,
easypanel,https://get.easypanel.io,ok,1891,b49929fee4a03fc3b3d4bab8d6f3f67c814e1dbd6d8718f1232ccdefd5576abd,
eget,https://zyedidia.github.io/eget.sh,ok,2610,0e64b8a3c13f531da005096cc364ac77835bda54276fedef6c62f3dbdc1ee919,
elan,https://raw.githubusercontent.com/leanprover/elan/master/elan-init.sh,ok,9823,a620ff1641616222c8d37c54845492004bb84d6877cdbc944dd65c1aa685bf53,
faas-cli,https://cli.openfaas.com,ok,4723,bd0533cd933a0ace9937961ce4512627d9c5e3e47f68f2a7059243208c778a67,
falco,https://falco.org/script/install,ok,828,fa61711f4f0e7488976b58288c43df67d64fbe9074e23a992fc610bc25a7117d,
flux,https://fluxcd.io/install.sh,ok,5810,bd7765225b731a1df952456eced0abb5dbbf5e11bc70cf6ab5fddd1476088b7e,
fnm,https://fnm.vercel.app/install,ok,5891,8431644b1c205ad25d4b09cfe10e0688944d1d2cd542f38d7b3b10e954db8ad9,
foundry,https://raw.githubusercontent.com/foundry-rs/foundry/master/foundryup/install,ok,2198,e103bb7839e0c8c65263c7971d0b6bf94ffbe2e81dff89c6b3ecb6ce2d76b71c,
garden,https://get.garden.io/install.sh,ok,8338,8e086a69bf4d40bb71b59321d9e84256cd831d2a0e130a3f7a763ef3e046c34a,
ghcup,https://get-ghcup.haskell.org,ok,34208,c85add4cdca779ea34bcbeeb3a311bbfed23fc96583311df41fe4e73554eba6d,
gitlab-runner,https://packages.gitlab.com/install/repositories/runner/gitlab-runner/script.deb.sh,ok,5315,c55bfee4743a3a04074d108f48fb3c65dd11c0327848309d16f728c80267ddc4,
