name,url
chef,https://omnitruck.chef.io/install.sh
clj-kondo,https://raw.githubusercontent.com/clj-kondo/clj-kondo/master/script/install-clj-kondo
fluent-bit,https://raw.githubusercontent.com/fluent/fluent-bit/master/install.sh
hysteria,https://get.hy2.sh
leiningen,https://raw.githubusercontent.com/technomancy/leiningen/stable/bin/lein
opam,https://raw.githubusercontent.com/ocaml/opam/master/shell/install.sh
openvpn-install,https://raw.githubusercontent.com/angristan/openvpn-install/master/openvpn-install.sh
outline-server,https://raw.githubusercontent.com/Jigsaw-Code/outline-server/master/src/server_manager/install_scripts/install_server.sh
roswell,https://raw.githubusercontent.com/roswell/roswell/release/scripts/install-for-ci.sh
shadowsocks-install,https://raw.githubusercontent.com/teddysun/shadowsocks_install/master/shadowsocks-all.sh
starknet-foundry,https://raw.githubusercontent.com/foundry-rs/starknet-foundry/master/scripts/install.sh
sysdig,https://s3.amazonaws.com/download.draios.com/stable/install-sysdig
tfswitch,https://raw.githubusercontent.com/warrensbox/terraform-switcher/release/install.sh
v2ray,https://raw.githubusercontent.com/v2fly/fhs-install-v2ray/master/install-release.sh
wireguard-install,https://raw.githubusercontent.com/angristan/wireguard-install/master/wireguard-install.sh
xray,https://raw.githubusercontent.com/XTLS/Xray-install/main/install-release.sh
determinate-nix,https://install.determinate.systems/nix
doppler-cli,https://cli.doppler.com/install.sh
k3d,https://raw.githubusercontent.com/k3d-io/k3d/main/install.sh
kustomize,https://raw.githubusercontent.com/kubernetes-sigs/kustomize/master/hack/install_kustomize.sh
modular,https://get.modular.com
n-install,https://raw.githubusercontent.com/mklement0/n-install/master/bin/n-install
nixpacks,https://nixpacks.com/install.sh
qmk,https://raw.githubusercontent.com/qmk/qmk_firmware/master/util/qmk_install.sh
ruff,https://astral.sh/ruff/install.sh
symfony-cli,https://get.symfony.com/cli/installer
trunk-io,https://get.trunk.io
warpstream,https://console.warpstream.com/install.sh
wasp-lang,https://get.wasp-lang.dev/installer.sh
chaos-mesh,https://mirrors.chaos-mesh.org/latest/install.sh
fzf,https://raw.githubusercontent.com/junegunn/fzf/master/install
golangci-lint,https://raw.githubusercontent.com/golangci/golangci-lint/master/install.sh
rancherd,https://get.rancher.io
actionlint,https://raw.githubusercontent.com/rhysd/actionlint/main/scripts/download-actionlint.bash
act-nektos,https://raw.githubusercontent.com/nektos/act/master/install.sh
trufflehog,https://raw.githubusercontent.com/trufflesecurity/trufflehog/main/scripts/install.sh
